brand;model;generation;version;productionYear;mileage;enginePowerKW;engineCapacity;bodyType;bodyTypeText;fuelType;fuelTypeText;price;currency
Kia;Sportage;Inny;Inny;2023;23800.0;110.0;1598.0;KOMBI;Kombi;GASOLINE;Benzyna;137900;PLN
Chrysler;Town & Country;Inny;Inny;2011;429945.0;208.0;3600.0;OTHER;Nieznany;LPG;LPG;3150;PLN
Mercedes-Benz;CLA;CLA Coupe (C117);CLA 250 (211 KM) 4MATIC DCT;2018;84300.0;155.0;1991.0;SEDAN;Sedan;GASOLINE;Benzyna;99900;PLN
Lexus;RX;Inny;Inny;2020;90000.0;193.0;3456.0;SUV;SUV;HYBRID;Hybrydowy;199900;PLN
Jaguar;XE;Inny;Inny;2019;145729.0;184.0;1997.0;SEDAN;Sedan;GASOLINE;Benzyna;95694;PLN
Citroen;C4;C4 Cactus (Phase II, 2018);1.2 PureTech (110 KM) EAT6;2019;62000.0;81.0;1199.0;SUV;SUV;GASOLINE;Benzyna;45000;PLN
Lexus;UX;Inny;Inny;2021;55000.0;135.0;1987.0;SUV;SUV;HYBRID;Hybrydowy;123900;PLN
Toyota;Yaris;Inny;Inny;2017;211900.0;55.0;1497.0;HATCHBACK;Hatchback;HYBRID;Hybrydowy;26400;PLN
Audi;Q5;Q5 II;2.0 TFSI (252 KM) quattro S tronic;2018;198000.0;187.0;2000.0;SUV;SUV;GASOLINE;Benzyna;99900;PLN
Jaguar;XF;Inny;Inny;2015;94333.0;132.0;2000.0;SEDAN;Sedan;DIESEL;Diesel;84999;PLN
Ford;Focus;Inny;Inny;2016;64000.0;110.0;1500.0;KOMBI;Kombi;GASOLINE;Benzyna;44600;PLN
Opel;Astra;Astra H GTC;1.6i 16V (105 KM);2007;254300.0;77.0;1598.0;HATCHBACK;Hatchback;LPG;LPG;6900;PLN
BMW;Seria 1;Inny;Inny;2015;96046.0;85.0;1496.0;HATCHBACK;Hatchback;DIESEL;Diesel;45900;PLN
Mercedes-Benz;CLA;Inny;Inny;2015;109000.0;115.0;1595.0;COUPE;Coupe;GASOLINE;Benzyna;73800;PLN
Citroen;C5;C5 I Break (Phase II, 2004);2.0 HDi (136 KM) FAP;2007;332000.0;100.0;2000.0;KOMBI;Kombi;DIESEL;Diesel;6500;PLN
Volkswagen;Passat;Inny;Inny;2022;135850.0;110.0;1500.0;SEDAN;Sedan;GASOLINE;Benzyna;76999;PLN
Renault;Master;Inny;Inny;2022;264020.0;121.0;2299.0;TARPAULIN;Nieznany;DIESEL;Diesel;110577;PLN
Volkswagen;Polo;Polo V;1.2 (70 KM) 5-dr;2013;145321.0;51.0;1198.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;19000;PLN
Man;TGS;Inny;Inny;2016;530000.0;353.0;12419.0;DUMP;Wywrotka;DIESEL;Diesel;249000;PLN
Nissan;Qashqai;Inny;Inny;2014;189000.0;81.0;1461.0;SUV;SUV;DIESEL;Diesel;49900;PLN
Volkswagen;Golf;Golf VII (5-door);e-Golf 24.2 kWh (115 KM);2019;45000.0;102.0;;HATCHBACK;Hatchback;OTHER;Inny;86500;PLN
Volkswagen;Passat;Passat (B8);2.0 TDI (150 KM) 4MOTION;2017;206400.0;110.0;2000.0;KOMBI;Kombi;DIESEL;Diesel;65900;PLN
Peugeot;Boxer;Inny;Inny;2013;193800.0;96.0;2198.0;OTHER;Nieznany;DIESEL;Diesel;41899;PLN
Toyota;Yaris;Yaris II;1.0 i VVT-i (69 KM);2008;119000.0;51.0;1000.0;HATCHBACK;Hatchback;GASOLINE;Benzyna;12900;PLN
Globe-Traveller;Voyager Z;Inny;Inny;2024;0.0;132.0;2184.0;VAN;Kampervan;DIESEL;Diesel;599000;PLN
Ford;Edge;Edge II;2.0 TDCi (210 KM) AWD PowerShift;2017;266928.0;;1997.0;SUV;SUV;DIESEL;Diesel;47400;PLN
Peugeot;407;407 SW;1.6 HDi (109 KM);2007;250000.0;80.0;1600.0;KOMBI;Kombi;DIESEL;Diesel;6950;PLN
Mercedes-Benz;Vito;Inny;Inny;2017;140000.0;100.0;2200.0;OTHER;Nieznany;DIESEL;Diesel;84900;PLN
Man;TGX;Inny;Inny;2016;857913.0;324.0;12419.0;OTHER;Nieznany;DIESEL;Diesel;44052;PLN
Volkswagen;New Beetle;Inny;Inny;2006;215000.0;55.0;1400.0;COUPE;Coupe;GASOLINE;Benzyna;11500;PLN
Ford;Kuga;Inny;Inny;2008;257016.0;100.0;1997.0;SUV;SUV;DIESEL;Diesel;26900;PLN
Ford;Galaxy;Inny;Inny;2019;142277.0;140.0;2000.0;OTHER;Nieznany;DIESEL;Diesel;62478;EUR
Citroen;Berlingo;Berlingo II (Phase I, 2008);1.6 HDi (90 KM);2008;256000.0;66.0;1600.0;MINIVAN;Minivan;DIESEL;Diesel;6900;PLN
Ford;Focus;Focus II Hatchback;1.6 Duratec 16V (100 KM) MT;2005;323859.0;74.0;1596.0;HATCHBACK;Hatchback;LPG;LPG;3490;PLN
Suzuki;SX-4 s-cross;Inny;Inny;2024;0.0;95.0;1400.0;SUV;SUV;GASOLINE;Benzyna;99900;PLN
